Row	Description	Part	References	Value	Footprint	Quantity Per PCB	Status	Datasheet
1	Unpolarized capacitor	C	C21 C22 C25 C26	2,2nf50v	C_0805_2012Metric	4	 	~
2	Unpolarized capacitor	C	C1 C11 C14 C16 C19 C20 C28 C29 C32	100nf25v	C_0805_2012Metric	9	 	~
3	Unpolarized capacitor	C	C13 C17 C18 C23 C24 C27 C30 C31	1uf16v	C_0805_2012Metric	8	 	~
4	Unpolarized capacitor	C	C2 C3 C4 C5 C6 C7 C8 C9 C10 C12 C15	10uf16v	C_0805_2012Metric	11	 	~
5	Light emitting diode	LED	D1 D2	LED	LED_0805_2012Metric	2	 	~
6	Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)	Conn_02x03_Odd_Even	J2 J3	Conn_02x03_Odd_Even	PinHeader_2x03_P2.54mm_Vertical	2	 	~
7		RPi_GPIO	J1	RPi_GPIO	Pin_Header_Straight_2x20	1	 	
8	Resistor	R	R2 R3 R8 R12 R14 R15 R21 R22 R26 R27	100R	R_0805_2012Metric	10	 	~
9	Resistor	R	R16 R17 R18 R19	470R	R_0805_2012Metric	4	 	~
10	Resistor	R	R5 R6 R7 R10	3K8	R_0805_2012Metric	4	 	~
11	Resistor	R	R1 R20 R23 R24 R25	10k	R_0805_2012Metric	5	 	~
12	Resistor	R	R4 R9 R11 R13	100K	R_0805_2012Metric	4	 	~
13	I2C Serial EEPROM, 1Kb (128x8) with Unique Serial Number, SOT-23-5	AT24CS01-STUM	U1	AT24CS01-STUM	SOT-23-5	1	 	http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8815-SEEPROM-AT24CS01-02-Datasheet.pdf
14		PCM1863DBT-pcm1863	U4	PCM1863DBT	TSSOP-30_4.4x7.8mm_P0.5mm	1	 	https://www.ti.com/lit/ds/symlink/pcm1863.pdf
15		PCM5242RHBR-pcm5242	U6	PCM5242RHBR	HVQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm_ThermalVias	1	 	https://www.ti.com/lit/ds/symlink/pcm5242.pdf
16		TLV71333PDBV-Regulator_Linear	U2 U3 U5	ncp163	SOT-23-5	3	 	https://www.onsemi.com/pub/Collateral/NCP163-D.PDF
17		ASCO-Oscillator	X1	22.5792Mhz	Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm	1	 	https://abracon.com/Oscillators/ASCO.pdf
18		ASCO-Oscillator	X2	24.576Mhz	Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm	1	 	https://abracon.com/Oscillators/ASCO.pdf





Project info:
Schematic:	pedalboard-soundcard
Variant:	default
Revision:	0.0.1
Date:	2023-12-19
KiCad Version:	7.0.9-7.0.9~ubuntu23.04.1
Statistics:
Component Groups:	18
Component Count:	72 (69 SMD/ 3 THT)
Fitted Components:	72 (69 SMD/ 3 THT)
Number of PCBs:	1
Total Components:	72
